n,Number,Floor,Layout,Type, View, Square, ExSquare,TotalArea, Price AED, Price USD, target_column
1,A-001,0,1B Convertible,B,Pool,916,521,1 437,1781651,488 124,1781651
2,A-002,0,ST Convertible,A,Pool,418,236,654,1095252,300 069,1095252
3,A-003,0,ST Convertible,A,Pool,418,240,657,1095933,300 256,1095933
4,A-004,0,1B Convertible,A,Street,839,541,1 379,1731589,474 408,1731589
5,A-005,0,1B Convertible,A,Street,839,541,1 379,1731589,474 408,1731589
6,A-007,0,2B Convertible,A,Park,1 187,1 548,2 735,2238825,613 377,2238825
7,A-008,0,2B Convertible,B,Park,1 173,1 875,3 047,2284529,625 898,2284529
8,A-009,0,2B Convertible,B,Park,1 175,935,2 110,2090088,572 627,2090088
9,B-001,0,1B Convertible,A,Pool,832,610,1 443,1749812,479 401,1749812
10,B-002,0,3B Convertible,D,Pool,1 570,2 097,3 667,2784655,762 919,2784655
11,B-003,0,3B Convertible,B,Street,1 505,2 109,3 614,2721027,745 487,2721027
12,B-006,0,ST Convertible,A,Street,419,445,864,1160126,317 843,1160126
13,B-008,0,1B Convertible,A,Street,837,543,1 381,1731160,474 290,1731160
14,C-002,0,4B TH,TH-A,Pool,1 698,552,2 249,4716327,1 292 144,4716327
15,C-003,0,4B TH,TH-A,Pool,1 698,552,2 249,4716327,1 292 144,4716327
16,C-004,0,4B TH,TH-A,Pool,1 698,552,2 249,4716327,1 292 144,4716327
17,C-005,0,4B TH,TH-A,Pool,1 698,552,2 249,4716327,1 292 144,4716327
18,C-006,0,4B TH,TH-A,Pool,1 698,550,2 248,4715156,1 291 824,4715156
19,C-007,0,4B TH,TH-A,Pool,1 698,550,2 248,4715156,1 291 824,4715156
20,C-008,0,4B TH,TH-A,Pool,1 698,552,2 249,4716327,1 292 144,4716327
21,C-009,0,4B TH,TH-A,Pool,1 698,552,2 249,4716327,1 292 144,4716327
22,C-013,0,4B TH,TH-A,Pool,1 698,552,2 249,4716327,1 292 144,4716327
23,A-101,1,1B Convertible,B,Pool,923,70,993,1769718,484 854,1769718
24,A-102,1,ST Convertible,A,Pool,420,30,450,1082002,296 439,1082002
25,A-103,1,ST Convertible,A,Pool,420,41,461,1091685,299 092,1091685
26,A-104,1,1B Convertible,C,Pool,957,121,1 079,1812471,496 567,1812471
27,A-105,1,2B Convertible,A,Street,1 178,169,1 347,2062990,565 203,2062990
28,A-106,1,1B Convertible,A,Street,841,83,925,1721761,471 715,1721761
29,A-107,1,1B Convertible,A,Street,845,83,929,1723750,472 260,1723750
30,A-109,1,2B Convertible,A,Park,1 194,162,1 355,2087541,571 929,2087541
31,A-110,1,2B Convertible,B,Park,1 180,105,1 286,2049049,561 383,2049049
32,A-111,1,2B Convertible,B,Park,1 183,104,1 287,2049883,561 612,2049883
33,B-101,1,2B Convertible,A,Pool,1 171,62,1 233,2024529,554 665,2024529
34,B-102,1,3B Convertible,D,Pool,1 580,139,1 718,2572943,704 916,2572943
35,B-103,1,3B Convertible,B,Street,1 516,142,1 658,2516973,689 582,2516973
36,B-108,1,2B Convertible,C,Street,1 211,133,1 344,2061134,564 694,2061134
37,B-109,1,2B Convertible,A,Street,1 169,128,1 297,2036294,557 889,2036294
38,B-110,1,2B Convertible,A,Street,1 178,126,1 304,2040059,558 920,2040059
39,B-111,1,3B Convertible,A,Street,1 458,129,1 587,2484655,680 727,2484655
40,B-112,1,1B Convertible,C,Pool,968,125,1 094,1819913,498 606,1819913
41,B-113,1,1B Convertible,A,Pool,845,129,974,1760066,482 210,1760066
42,B-114,1,1B Convertible,A,Pool,845,93,938,1742005,477 262,1742005
43,B-115,1,1B Convertible,B,Pool,912,70,982,1763788,483 230,1763788
44,A-203,2,ST Convertible,A,Pool,420,41,461,1095319,300 087,1095319
45,A-205,2,2B Convertible,A,Street,1 178,169,1 347,2072977,567 939,2072977
46,A-209,2,3B Convertible,C,Park,1 593,171,1 765,2600553,712 480,2600553
47,A-210,2,2B Convertible,A,Park,1 194,162,1 355,2097590,574 682,2097590
48,B-201,2,2B Convertible,A,Pool,1 171,62,1 233,2033733,557 187,2033733
49,B-202,2,3B Convertible,D,Pool,1 580,139,1 718,2584280,708 022,2584280
50,B-203,2,3B Convertible,B,Street,1 515,142,1 658,2527859,692 564,2527859
51,B-208,2,2B Convertible,C,Street,1 211,133,1 344,2071505,567 536,2071505
52,B-209,2,1B Convertible,A,Street,845,60,906,1717925,470 664,1717925
53,B-210,2,2B Convertible,A,Street,1 169,128,1 297,2045913,560 524,2045913
54,B-211,2,2B Convertible,A,Street,1 178,126,1 304,2049730,561 570,2049730
55,B-212,2,3B Convertible,A,Street,1 458,129,1 587,2495122,683 595,2495122
56,B-213,2,1B Convertible,C,Pool,977,121,1 098,1828458,500 947,1828458
57,B-214,2,1B Convertible,A,Pool,845,129,974,1765848,483 794,1765848
58,B-215,2,1B Convertible,A,Pool,845,93,938,1747521,478 773,1747521
59,B-216,2,1B Convertible,B,Pool,912,70,982,1769501,484 795,1769501
60,A-301,3,1B Convertible,B,Pool,923,70,993,1781282,488 022,1781282
61,A-304,3,1B Convertible,C,Pool,953,121,1 075,1823045,499 464,1823045
62,A-305,3,2B Convertible,A,Street,1 178,169,1 347,2082964,570 675,2082964
63,A-306,3,1B Convertible,A,Street,845,83,929,1734560,475 222,1734560
64,A-307,3,1B Convertible,A,Street,845,83,929,1734560,475 222,1734560
65,A-308,3,1B Convertible,A,Street,845,83,929,1734560,475 222,1734560
66,A-309,3,3B Convertible,C,Park,1 593,171,1 765,2612196,715 670,2612196
67,A-310,3,2B Convertible,A,Park,1 194,162,1 355,2107638,577 435,2107638
68,A-311,3,2B Convertible,B,Park,1 180,105,1 286,2068113,566 606,2068113
69,A-312,3,2B Convertible,B,Park,1 183,104,1 287,2068970,566 841,2068970
70,A-313,3,1B Convertible,A,Pool,859,62,921,1744100,477 836,1744100
71,B-301,3,2B Convertible,A,Pool,1 171,62,1 233,2042876,559 692,2042876
72,B-302,3,3B Convertible,D,Pool,1 580,139,1 718,2595617,711 128,2595617
73,B-303,3,3B Convertible,B,Street,1 515,142,1 658,2538794,695 560,2538794
74,B-308,3,2B Convertible,C,Street,1 211,133,1 344,2081472,570 266,2081472
75,B-309,3,1B Convertible,A,Street,845,60,906,1723197,472 109,1723197
76,B-310,3,2B Convertible,A,Street,1 169,128,1 297,2055532,563 159,2055532
77,B-311,3,2B Convertible,A,Street,1 178,126,1 304,2059401,564 219,2059401
78,B-312,3,3B Convertible,A,Street,1 458,129,1 587,2505589,686 463,2505589
79,B-313,3,1B Convertible,C,Pool,977,121,1 098,1834848,502 698,1834848
80,B-314,3,1B Convertible,A,Pool,845,129,974,1771519,485 348,1771519
81,B-315,3,1B Convertible,A,Pool,845,93,938,1752982,480 269,1752982
82,B-316,3,1B Convertible,B,Pool,912,70,982,1775214,486 360,1775214
83,A-401,4,1B Convertible,B,Pool,923,70,993,1787064,489 607,1787064
84,A-404,4,1B Convertible,C,Pool,953,121,1 075,1829302,501 179,1829302
85,A-405,4,2B Convertible,A,Street,1 178,169,1 347,2092952,573 412,2092952
86,A-406,4,1B Convertible,A,Street,845,83,929,1739965,476 703,1739965
87,A-407,4,1B Convertible,A,Street,845,83,928,1739965,476 703,1739965
88,A-408,4,1B Convertible,A,Street,845,83,929,1739965,476 703,1739965
89,A-409,4,3B Convertible,C,Park,1 593,171,1 765,2623839,718 860,2623839
90,A-410,4,2B Convertible,A,Park,1 194,162,1 355,2117687,580 188,2117687
91,A-411,4,2B Convertible,B,Park,1 180,105,1 286,2077645,569 218,2077645
92,A-412,4,2B Convertible,B,Park,1 183,104,1 287,2078513,569 456,2078513
93,A-413,4,1B Convertible,A,Pool,859,62,921,1749460,479 304,1749460
94,B-401,4,2B Convertible,A,Pool,1 171,62,1 233,2052019,562 197,2052019
95,B-402,4,3B Convertible,D,Pool,1 580,139,1 718,2606954,714 234,2606954
96,B-403,4,3B Convertible,B,Street,1 515,142,1 658,2549729,698 556,2549729
97,B-405,4,ST Convertible,A,Street,421,27,448,1081491,296 299,1081491
98,B-406,4,ST Convertible,A,Street,421,27,448,1081491,296 299,1081491
99,B-407,4,ST Convertible,A,Street,421,26,447,1080699,296 082,1080699
100,B-408,4,2B Convertible,C,Street,1 211,133,1 344,2091439,572 997,2091439
101,B-409,4,1B Convertible,A,Street,845,60,906,1728469,473 553,1728469
102,B-410,4,2B Convertible,A,Street,1 169,128,1 297,2065151,565 795,2065151
103,B-411,4,2B Convertible,A,Street,1 178,126,1 304,2069072,566 869,2069072
104,B-412,4,3B Convertible,A,Street,1 458,129,1 587,2516055,689 330,2516055
105,B-413,4,1B Convertible,C,Pool,977,121,1 098,1841239,504 449,1841239
106,B-414,4,1B Convertible,A,Pool,845,129,974,1777190,486 901,1777190
107,B-415,4,1B Convertible,A,Pool,845,93,938,1758443,481 765,1758443
108,B-416,4,1B Convertible,B,Pool,912,70,982,1780927,487 925,1780927
109,A-501,5,1B Convertible,B,Pool,923,70,993,1792846,491 191,1792846
110,A-504,5,1B Convertible,C,Pool,953,121,1 075,1835558,502 893,1835558
111,A-505,5,2B Convertible,A,Street,1 178,169,1 347,2102939,576 148,2102939
112,A-505,5,2B Convertible,A,Street,1 178,169,1 347,2102939,576 148,2102939
113,A-506,5,1B Convertible,A,Street,845,83,929,1745370,478 184,1745370
114,A-507,5,1B Convertible,A,Street,845,83,929,1745370,478 184,1745370
115,A-509,5,3B Convertible,C,Park,1 593,171,1 765,2635481,722 050,2635481
116,A-510,5,2B Convertible,A,Park,1 194,162,1 355,2127735,582 941,2127735
117,A-511,5,2B Convertible,B,Park,1 180,105,1 286,2087177,571 829,2087177
118,A-512,5,2B Convertible,B,Park,1 183,104,1 287,2088057,572 070,2088057
119,A-513,5,1B Convertible,A,Pool,859,62,921,1754820,480 773,1754820
120,B-501,5,2B Convertible,A,Pool,1 171,62,1 233,2061161,564 702,2061161
121,B-502,5,3B Convertible,D,Pool,1 580,139,1 718,2618292,717 340,2618292
122,B-503,5,3B Convertible,B,Street,1 515,142,1 658,2560665,701 552,2560665
123,B-504,5,ST Convertible,A,Street,421,26,447,1084223,297 047,1084223
124,B-505,5,ST Convertible,A,Street,421,27,448,1085022,297 266,1085022
125,B-507,5,ST Convertible,A,Street,421,26,447,1084223,297 047,1084223
126,B-508,5,2B Convertible,C,Street,1 211,133,1 344,2101406,575 728,2101406
127,B-510,5,2B Convertible,A,Street,1 169,128,1 297,2074770,568 430,2074770
128,B-511,5,2B Convertible,A,Street,1 178,126,1 304,2078743,569 519,2078743
129,B-512,5,3B Convertible,A,Street,1 458,129,1 587,2526522,692 198,2526522
130,B-513,5,1B Convertible,C,Pool,977,121,1 098,1847629,506 200,1847629
131,B-514,5,1B Convertible,A,Pool,845,129,974,1782862,488 455,1782862
132,B-515,5,1B Convertible,A,Pool,845,93,938,1763904,483 261,1763904
133,B-516,5,1B Convertible,B,Pool,912,70,982,1786641,489 491,1786641
134,A-601,6,1B Convertible,B,Pool,923,70,993,1798628,492 775,1798628
135,A-604,6,1B Convertible,C,Pool,953,121,1 075,1841815,504 607,1841815
136,A-605,6,2B Convertible,A,Street,1 178,169,1 347,2112926,578 884,2112926
137,A-606,6,1B Convertible,A,Street,845,83,929,1750775,479 664,1750775
138,A-607,6,1B Convertible,A,Street,845,83,929,1750775,479 664,1750775
139,A-608,6,1B Convertible,A,Street,845,83,929,1750775,479 664,1750775
140,A-610,6,2B Convertible,A,Park,1 194,162,1 355,2137784,585 694,2137784
141,A-611,6,2B Convertible,B,Park,1 180,105,1 286,2096709,574 441,2096709
142,A-612,6,2B Convertible,B,Park,1 183,104,1 287,2097600,574 685,2097600
143,B-601,6,2B Convertible,A,Pool,1 171,62,1 233,2070304,567 207,2070304
144,B-603,6,3B Convertible,B,Street,1 515,142,1 658,2571600,704 548,2571600
145,B-604,6,ST Convertible,A,Street,421,26,447,1087747,298 013,1087747
146,B-605,6,ST Convertible,A,Street,421,27,448,1088553,298 234,1088553
147,B-606,6,ST Convertible,A,Street,421,27,448,1088553,298 234,1088553
148,B-607,6,ST Convertible,A,Street,421,26,447,1087747,298 013,1087747
149,B-608,6,2B Convertible,C,Street,1 211,133,1 344,2111373,578 458,2111373
150,B-609,6,1B Convertible,A,Street,845,60,906,1739013,476 442,1739013
151,B-610,6,2B Convertible,A,Street,1 169,128,1 297,2084390,571 066,2084390
152,B-611,6,2B Convertible,A,Street,1 178,126,1 304,2088414,572 168,2088414
153,B-612,6,3B Convertible,A,Street,1 458,129,1 587,2536988,695 065,2536988
154,B-613,6,1B Convertible,C,Pool,977,121,1 098,1854020,507 951,1854020
155,B-614,6,1B Convertible,A,Pool,845,129,974,1788533,490 009,1788533
156,B-615,6,1B Convertible,A,Pool,845,93,938,1769364,484 757,1769364
157,B-616,6,1B Convertible,B,Pool,912,70,982,1792354,491 056,1792354
158,A-701,7,1B Convertible,B,Pool,923,70,993,1804411,494 359,1804411
159,A-704,7,1B Convertible,C,Pool,953,121,1 075,1848071,506 321,1848071
160,A-706,7,1B Convertible,A,Street,845,83,929,1756180,481 145,1756180
161,A-708,7,1B Convertible,A,Street,845,83,928,1756180,481 145,1756180
162,A-708,7,1B Convertible,A,Street,845,83,928,1756180,481 145,1756180
163,A-710,7,2B Convertible,A,Park,1 194,162,1 355,2147832,588 447,2147832
164,A-711,7,2B Convertible,B,Park,1 180,105,1 286,2106242,577 053,2106242
165,A-712,7,2B Convertible,B,Park,1 183,104,1 287,2107143,577 299,2107143
166,A-713,7,1B Convertible,A,Pool,859,62,921,1765540,483 710,1765540
167,B-701,7,2B Convertible,A,Pool,1 171,62,1 233,2079447,569 712,2079447
168,B-702,7,3B Convertible,D,Pool,1 580,139,1 718,2640966,723 552,2640966
169,B-705,7,ST Convertible,A,Street,421,27,448,1092084,299 201,1092084
170,B-706,7,ST Convertible,A,Street,421,27,448,1092084,299 201,1092084
171,B-707,7,ST Convertible,A,Street,421,26,447,1091271,298 978,1091271
172,B-708,7,2B Convertible,C,Street,1 211,133,1 344,2121340,581 189,2121340
173,B-709,7,1B Convertible,A,Street,845,60,906,1744285,477 886,1744285
174,B-710,7,2B Convertible,A,Street,1 169,128,1 297,2094009,573 701,2094009
175,B-711,7,2B Convertible,A,Street,1 178,126,1 304,2098085,574 818,2098085
176,B-712,7,3B Convertible,A,Street,1 458,129,1 587,2547455,697 933,2547455
177,B-713,7,1B Convertible,C,Pool,977,121,1 098,1860410,509 701,1860410
178,B-714,7,1B Convertible,A,Pool,845,129,974,1794204,491 563,1794204
179,B-715,7,1B Convertible,A,Pool,845,93,938,1774825,486 253,1774825
180,B-716,7,1B Convertible,B,Pool,912,70,982,1798067,492 621,1798067
181,A-801,8,1B Convertible,B,Pool,923,70,993,1810193,495 943,1810193
182,A-804,8,1B Convertible,C,Pool,953,121,1 075,1854328,508 035,1854328
